time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
1.449000,-6.278398,1.449211,-0.006724,-7.584971,1.576084,0.000000,-19.000000,0.000000,0.000000,44.609751,44.852369,46.923018,46.718547,0.264870,-0.000249,-19.000000,0.000000
1.499000,-8.092786,1.161749,-0.007603,-9.472261,1.291794,0.000000,-15.000000,0.000000,0.000000,45.326925,45.282673,46.216526,46.279088,0.264870,-0.000116,-15.000000,0.000000
1.549000,-8.784816,0.928258,-0.007909,-9.889440,0.925892,0.000000,-10.000000,0.000000,0.000000,45.194171,45.380331,46.356909,46.175326,0.264870,-0.000035,-11.000000,0.000000
1.598000,-8.627500,0.764192,-0.007957,-9.424656,0.864334,0.000000,-6.000000,0.000000,0.000000,45.365072,45.430686,46.187533,46.121920,0.264870,-0.000001,-7.000000,0.000000
1.648000,-7.755365,0.590287,-0.007837,-7.992830,0.974747,0.000000,-2.000000,0.000000,0.000000,45.540551,45.442893,46.013581,46.108186,0.264870,0.000040,-3.000000,0.000000
1.698000,-6.466851,0.407767,-0.007577,-6.435339,0.762132,0.000000,-2.000000,0.000000,0.000000,45.806058,45.697719,45.751125,45.850309,0.264870,0.000052,-1.000000,0.000000
1.748000,-5.970061,0.266139,-0.007418,-6.027923,0.448345,0.000000,-6.000000,0.000000,0.000000,46.147860,46.202792,45.406271,45.349813,0.264870,0.000014,-6.000000,0.000000
1.797000,-6.314309,0.211040,-0.007425,-6.273107,-0.056779,0.000000,-10.000000,0.000000,0.000000,46.167697,46.240940,45.383383,45.311666,0.264870,-0.000005,-10.000000,0.000000
1.847000,-7.402553,0.222471,-0.007413,-7.514762,0.050856,0.000000,-15.000000,0.000000,0.000000,46.163119,46.080720,45.389487,45.470359,0.264870,0.000002,-14.000000,0.000000
1.897000,-9.065621,0.214799,-0.007425,-9.228166,-0.008656,0.000000,-19.000000,0.000000,0.000000,45.978485,45.856413,45.574121,45.697719,0.264870,-0.000002,-18.000000,0.000000
1.947000,-10.916840,0.213183,-0.007439,-11.418063,-0.019501,0.000000,-17.000000,0.000000,0.000000,45.162127,45.088884,46.390478,46.463722,0.264870,-0.000002,-18.000000,0.000000
1.997000,-11.668675,0.203734,-0.007452,-12.219135,0.117101,0.000000,-13.000000,0.000000,0.000000,45.886931,45.804532,45.665675,45.748074,0.264870,-0.000001,-14.000000,0.000000
2.047000,-11.465171,0.177834,-0.007451,-12.148637,0.084949,0.000000,-9.000000,0.000000,0.000000,45.339132,45.410849,46.213474,46.141756,0.264870,0.000006,-9.000000,0.000000
2.097000,-10.535328,0.158120,-0.007432,-11.075770,0.287644,0.000000,-5.000000,0.000000,0.000000,45.581750,45.471885,45.970855,46.079194,0.264870,0.000002,-5.000000,0.000000
2.147000,-9.024676,0.087665,-0.007326,-9.209150,0.292031,0.000000,0.000000,0.000000,0.000000,45.442893,45.549706,46.112764,46.001373,0.264870,0.000033,-1.000000,0.000000
2.197000,-7.314567,-0.180377,-0.006975,-7.259909,0.063806,0.000000,0.000000,-4.000000,0.000000,46.511025,45.389487,45.049210,46.155489,0.264870,0.000116,0.000000,0.000000
2.247000,-5.948105,-1.167604,-0.005606,-5.735398,-1.014148,0.000000,0.000000,-8.000000,0.000000,46.475929,45.246052,45.101091,46.282139,0.264870,0.000349,0.000000,0.000000
2.297000,-4.856506,-2.710914,-0.003629,-4.538105,-2.897015,0.000000,0.000000,-12.000000,0.000000,45.406271,46.401160,46.176852,45.120928,0.264870,0.000431,0.000000,0.000000
2.347000,-3.991041,-4.626127,-0.001597,-3.692637,-5.353761,0.000000,0.000000,-16.000000,0.000000,46.178378,45.395590,45.403220,46.128023,0.264870,0.000404,0.000000,0.000000
2.397000,-3.310506,-6.827551,0.000310,-2.952579,-7.907050,0.000000,0.000000,-20.000000,0.000000,46.102083,45.523766,45.476463,46.002899,0.264870,0.000360,0.000000,0.000000
2.447000,-2.780098,-8.612627,0.001771,-2.144664,-10.325908,0.000000,0.000000,-15.000000,0.000000,45.041581,46.619364,46.527810,44.916457,0.264870,0.000197,0.000000,0.000000
2.497000,-2.384597,-9.291074,0.002326,-1.510226,-10.535356,0.000000,0.000000,-11.000000,0.000000,45.246052,46.474403,46.312657,45.073625,0.264870,0.000059,0.000000,0.000000
2.547000,-2.114161,-9.145398,0.002375,-1.098250,-10.345126,0.000000,0.000000,-7.000000,0.000000,45.128557,46.483558,46.422522,45.069047,0.264870,-0.000013,0.000000,0.000000
2.597000,-1.896271,-8.289896,0.002209,-1.175548,-9.135411,0.000000,0.000000,-3.000000,0.000000,46.009003,45.503929,45.540551,46.051728,0.264870,-0.000046,0.000000,0.000000
2.647000,-1.699534,-6.958435,0.001904,-0.750492,-7.332187,0.000000,0.000000,-1.000000,0.000000,46.639200,44.907301,44.908827,46.649882,0.264870,-0.000066,0.000000,0.000000
2.697000,-1.549560,-6.143100,0.001673,-0.855831,-6.186662,0.000000,0.000000,-5.000000,0.000000,46.459144,44.936294,45.090410,46.617838,0.264870,-0.000028,0.000000,0.000000
2.747000,-1.407443,-6.289828,0.001667,-0.494117,-6.273135,0.000000,0.000000,-10.000000,0.000000,46.291295,45.217060,45.262837,46.334020,0.264870,0.000010,0.000000,0.000000
2.797000,-1.304862,-7.146561,0.001739,-0.542066,-7.290985,0.000000,0.000000,-14.000000,0.000000,46.289769,45.319295,45.264363,46.231785,0.264870,0.000018,0.000000,0.000000
2.847000,-1.222097,-8.580098,0.001870,-0.523922,-9.441428,0.000000,0.000000,-18.000000,0.000000,46.179904,45.317769,45.374228,46.233310,0.264870,0.000033,0.000000,0.000000
2.897000,-1.120699,-10.299207,0.002071,-0.554276,-11.253411,0.000000,0.000000,-18.000000,0.000000,45.491722,46.092927,46.063935,45.456626,0.264870,0.000043,0.000000,0.000000
2.947000,-1.021617,-11.225426,0.002239,-0.556101,-12.184787,0.000000,0.000000,-14.000000,0.000000,45.030900,46.393530,46.523232,45.157549,0.264870,0.000023,0.000000,0.000000
2.997000,-0.898162,-11.254613,0.002291,-0.527589,-11.970510,0.000000,0.000000,-10.000000,0.000000,45.209430,46.306554,46.343175,45.246052,0.264870,-0.000001,0.000000,0.000000
3.047000,-0.824546,-10.574517,0.002242,-0.218916,-11.004153,0.000000,0.000000,-5.000000,0.000000,45.319295,46.166171,46.233310,45.386435,0.264870,-0.000012,0.000000,0.000000
3.097000,-0.802970,-9.300754,0.002192,-0.008970,-9.535220,0.000000,0.000000,-1.000000,0.000000,45.484092,46.030365,46.066987,45.523766,0.264870,-0.000001,0.000000,0.000000
3.147000,-0.940171,-7.767616,0.002302,-0.002649,-7.705223,0.000000,-3.000000,-3.000000,0.000000,47.066453,45.546654,44.489204,46.002899,0.264870,0.000060,-2.000000,0.000000
3.197000,-1.797330,-7.214245,0.002838,-1.097322,-7.052926,0.000000,-7.000000,-7.000000,0.000000,45.626001,45.531395,45.934234,46.013581,0.264870,0.000096,-6.000000,0.000000
3.247000,-3.206273,-7.520214,0.002651,-2.956992,-7.404365,0.000000,-11.000000,-11.000000,0.000000,46.593423,45.644312,44.950027,45.917449,0.264870,-0.000188,-11.000000,0.000000
3.297000,-5.080842,-8.506843,0.000855,-5.214950,-8.297474,0.000000,-15.000000,-15.000000,0.000000,46.248569,45.488670,45.268940,46.097505,0.264870,-0.000527,-15.000000,0.000000
3.347000,-7.272645,-10.058349,-0.002842,-8.031319,-10.218605,0.000000,-20.000000,-20.000000,0.000000,46.370642,45.673304,45.122454,45.940337,0.264870,-0.000847,-19.000000,0.000000
3.397000,-9.246393,-11.581249,-0.007179,-10.507802,-11.786771,0.000000,-16.000000,-16.000000,0.000000,44.492256,45.905241,47.006943,45.700771,0.264870,-0.000703,-17.000000,0.000000
3.447000,-9.997966,-12.083607,-0.008476,-11.656646,-12.415094,0.000000,-12.000000,-12.000000,0.000000,44.518196,45.822843,47.026780,45.737392,0.264870,-0.000074,-13.000000,0.000000
3.497000,-9.782951,-11.717419,-0.008656,-11.251806,-12.171379,0.000000,-8.000000,-8.000000,0.000000,46.079194,45.677882,45.468833,45.877775,0.264870,-0.000054,-9.000000,0.000000
